parameter,value,unit,timestamp_raw,status_code,source_file,scenario,parameter_std,unit_std,station_code,station_name,domain,observed_at
NO,0.0,ug/m3,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,no,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
NO2,14.91,ug/m3,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,no2,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
NOx,12.51,ug/m3,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,nox,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
SO2,0.0,ug/m3,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,so2,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
CO,3087.03,ug/m3,20260325000500,02,HN_BKHN_KHIKXQ_20260325000500.txt,normal,co,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
O3,45.14,ug/m3,20260325000500,01,HN_BKHN_KHIKXQ_20260325000500.txt,normal,o3,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
PM2.5,27.81,ug/m3,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,pm25,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
PM10,48.24,ug/m3,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,pm10,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Temp,23.88,oC,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,temperature,°C,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Humidity,86.37,%,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,humidity,%,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Pressure,1009.92,hPa,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,pressure,hPa,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Radiation,-1.6,w/m2,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,radiation,W/m²,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
WindSpeed,0.39,m/s,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,wind_speed,m/s,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
WindDir,33.42,Degree,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,wind_direction,Degree,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Hg,0.02,ng/m3,20260325000500,02,HN_BKHN_KHIKXQ_20260325000500.txt,normal,hg,ng/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
TempIn,26.58,oC,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,temperature_indoor,°C,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Vinyl chloride,0.0,ppb,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,vinyl chloride,ppb,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Butadiene,0.0,ppb,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,butadiene,ppb,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Tetrachloroethene,0.0,ppb,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,tetrachloroethene,ppb,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Benzen,0.0,ppb,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,benzen,ppb,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Acrylonitrile,0.0,ppb,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,acrylonitrile,ppb,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Toluene,0.0,ppb,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,toluene,ppb,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Ethylbenzene,0.0,ppb,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,ethylbenzene,ppb,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Styrene,0.0,ppb,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,styrene,ppb,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
"m,p-Xylene",0.0,ppb,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,"m,p-xylene",ppb,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
o-Xylene,0.0,ppb,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,normal,o-xylene,ppb,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
pH,8.81,,20260203124500,00,HN_PHCH_NUOPCH_20260203124500.txt,normal,ph,-,HN_PHCH,Trạm HN_PHCH,water,2026-02-03 12:45:00
TSS,3.9,mg/L,20260203124500,00,HN_PHCH_NUOPCH_20260203124500.txt,normal,tss,mg/L,HN_PHCH,Trạm HN_PHCH,water,2026-02-03 12:45:00
COND,329.0,uS/cm,20260203124500,00,HN_PHCH_NUOPCH_20260203124500.txt,normal,conductivity,µS/cm,HN_PHCH,Trạm HN_PHCH,water,2026-02-03 12:45:00
TURB,0.58,FNU,20260203124500,00,HN_PHCH_NUOPCH_20260203124500.txt,normal,turbidity,FNU,HN_PHCH,Trạm HN_PHCH,water,2026-02-03 12:45:00
NO3-N,253.0,mg/L,20260203124500,00,HN_PHCH_NUOPCH_20260203124500.txt,normal,nitrate,mg/L,HN_PHCH,Trạm HN_PHCH,water,2026-02-03 12:45:00
DO,7.0,mg/L,20260203124500,00,HN_PHCH_NUOPCH_20260203124500.txt,normal,do,mg/L,HN_PHCH,Trạm HN_PHCH,water,2026-02-03 12:45:00
Temp,18.2,oC,20260203124500,00,HN_PHCH_NUOPCH_20260203124500.txt,normal,temperature,°C,HN_PHCH,Trạm HN_PHCH,water,2026-02-03 12:45:00
Temp,23.3262,oC,20260325000000,00,TB_CAPH_NUOSXL_20260325000000.txt,normal,temperature,°C,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
Flowin,0.5833,m3/h,20260325000000,00,TB_CAPH_NUOSXL_20260325000000.txt,normal,flow_in,m3/h,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
Flow_Out,10.1973,m3/h,20260325000000,00,TB_CAPH_NUOSXL_20260325000000.txt,normal,flow_out,m3/h,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
Amoni,2.3308,mg/l,20260325000000,00,TB_CAPH_NUOSXL_20260325000000.txt,normal,ammonia,mg/L,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
COD,16.2482,mg/l,20260325000000,00,TB_CAPH_NUOSXL_20260325000000.txt,normal,cod,mg/L,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
pH,7.8485,,20260325000000,00,TB_CAPH_NUOSXL_20260325000000.txt,normal,ph,-,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
TSS,24.1999,mg/l,20260325000000,00,TB_CAPH_NUOSXL_20260325000000.txt,normal,tss,mg/L,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
Nhiệtđộ,44.9342,,20260325000000,00,TB_NMAM_KHIAMO_20260325000000.txt,normal,temperature,-,TB_NMAM,Trạm TB_NMAM,stack_emission,2026-03-25 00:00:00
Flow,61617.0875,m3/h,20260325000000,00,TB_NMAM_KHIAMO_20260325000000.txt,normal,flow,m3/h,TB_NMAM,Trạm TB_NMAM,stack_emission,2026-03-25 00:00:00
Ápsuất,100.5425,,20260325000000,00,TB_NMAM_KHIAMO_20260325000000.txt,normal,pressure,-,TB_NMAM,Trạm TB_NMAM,stack_emission,2026-03-25 00:00:00
NH3,1.5858,mg/Nm3,20260325000000,00,TB_NMAM_KHIAMO_20260325000000.txt,normal,nh3,mg/Nm3,TB_NMAM,Trạm TB_NMAM,stack_emission,2026-03-25 00:00:00
PM,7.17,mg/Nm3,20260325000000,00,TB_NMAM_KHIAMO_20260325000000.txt,normal,pm,mg/Nm3,TB_NMAM,Trạm TB_NMAM,stack_emission,2026-03-25 00:00:00
