parameter,value,unit,timestamp_raw,status_code,source_file,scenario,parameter_std,unit_std,station_code,station_name,domain,observed_at
NO,0.0,ug/m3,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,no,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
NO2,34.293,ug/m3,20260325000500,01,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,no2,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
NOx,25.02,ug/m3,20260325000500,01,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,nox,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
SO2,0.0,ug/m3,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,so2,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
CO,5556.654,ug/m3,20260325000500,01,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,co,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
O3,72.224,ug/m3,20260325000500,01,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,o3,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
PM2.5,61.182,ug/m3,20260325000500,01,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,pm25,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
PM10,96.48,ug/m3,20260325000500,01,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,pm10,µg/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Temp,23.88,oC,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,temperature,°C,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Humidity,86.37,%,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,humidity,%,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Pressure,1009.92,hPa,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,pressure,hPa,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Radiation,-1.6,w/m2,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,radiation,W/m²,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
WindSpeed,0.39,m/s,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,wind_speed,m/s,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
WindDir,33.42,Degree,20260325000500,00,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,wind_direction,Degree,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
Hg,0.02,ng/m3,20260325000500,02,HN_BKHN_KHIKXQ_20260325000500.txt,polluted,hg,ng/m3,HN_BKHN,Trạm HN_BKHN,ambient_air,2026-03-25 00:05:00
